,first_int,last_int
Paramys_copei,1,1
Paramys_delicatus,2,2
Pseudotomus_horribilis,2,2
Pseudotomus_oweni,3,3
Pseudotomus_petersoni,4,4
Pseudotomus_hians,2,2
Reithroparamys_delicatissimus,2,2
Rapamys_atramontis,5,5
Ischyromys_typus,6,6
Cedromus_wilsoni,7,7
Protosciurus_rachelae,8,8
Sciurus_carolinensis,10,10
Sciurus_granatensis,10,10
Tamiasciurus_hudsonicus,10,10
Tamias_minimus,10,10
Funisciurus_pyrropus,10,10
Heliosciurus_rufobrachium,10,10
Paraxerus_cepapi,10,10
Protoxerus_stangeri,10,10
Xerus_rutilus,10,10
Marmota_marmota,10,10
Cynomys_ludovicianus,10,10
Urocitellus_richardsonii,10,10
Aeromys_tephromelas,10,10
Glaucomys_volans,10,10
Petaurista_petaurista,10,10
Hylopetes_spadiceus,10,10
Petinomys_setosus,10,10
Pteromyscus_pulverulentus,10,10
Pteromys_volans,10,10
Rhinosciurus_laticaudatus,10,10
Callosciurus_sp,10,10
Lariscus_insignis,10,10
Dremomys_rufigenis,10,10
Ratufa_affinis,10,10
Aplodontia_rufa,10,10
Mesogaulus_paniensis,9,9
Prosciurus_relictus,7,7